path,name,modified_at,version_count,size,id
2023-ny-ofo/20230708-0167/Images/NY-508-80-NS-RTK/100_0004_0189.JPG,100_0004_0189.JPG,2025-04-17 22:51:11,2,8594424,1259246381942
2023-ny-ofo/20230708-0167/Images/NY-508-80-NS-RTK/100_0004_0286.JPG,100_0004_0286.JPG,2025-04-17 22:51:11,2,8499581,1259252870424
2023-ny-ofo/20230708-0196/Images/NY-166-80-SO-RTK/DJI_20230708104143_0396_D.JPG,DJI_20230708104143_0396_D.JPG,2025-04-17 23:05:33,2,7454720,1259158910141
2023-ny-ofo/20230708-0196/Images/NY-166-80-SO-RTK/DJI_20230708104714_0898_D.JPG,DJI_20230708104714_0898_D.JPG,2025-04-17 23:05:31,2,8036352,1259242143601
2023-ny-ofo/20230708-0196/Images/NY-166-80-SO-RTK/DJI_20230708110420_0049_D.JPG,DJI_20230708110420_0049_D.JPG,2025-04-17 23:05:31,2,8949760,1259359248513
2023-ny-ofo/20230708-0196/Images/NY-166-80-SO-RTK/DJI_20230708110518_0113_D.JPG,DJI_20230708110518_0113_D.JPG,2025-04-17 23:05:33,2,8142848,1259369462773
2023-ny-ofo/20230708-0197/Images/NY-524-80-SO-RTK/DJI_20230708135048_0141_D.JPG,DJI_20230708135048_0141_D.JPG,2025-04-17 23:09:58,2,8400896,1259927805342
2023-ny-ofo/20230708-0197/Images/NY-524-80-SO-RTK/DJI_20230708140405_0175_D.JPG,DJI_20230708140405_0175_D.JPG,2025-04-17 23:10:07,2,7909376,1259973666493
2023-ny-ofo/20230708-0197/Images/NY-524-80-SO-RTK/DJI_20230708140817_0441_D.JPG,DJI_20230708140817_0441_D.JPG,2025-04-17 23:10:02,2,8273920,1259993042108
2023-ny-ofo/20230708-0197/Images/NY-524-80-SO-RTK/DJI_20230708141003_0549_D.JPG,DJI_20230708141003_0549_D.JPG,2025-04-17 23:10:08,2,7569408,1259997305255
2023-ny-ofo/20230708-0200/Images/NY-524-120-RTK/DJI_20230708112006_0288_D.JPG,DJI_20230708112006_0288_D.JPG,2025-04-17 23:29:07,2,7405568,1259812895542
2023-ny-ofo/20230708-0200/Images/NY-524-120-RTK/DJI_20230708112310_0504_D.JPG,DJI_20230708112310_0504_D.JPG,2025-04-17 23:29:09,2,7557120,1259837212217
2023-ny-ofo/20230708-0200/Images/NY-524-120-RTK/DJI_20230708112603_0708_D.JPG,DJI_20230708112603_0708_D.JPG,2025-04-17 23:29:07,2,7405568,1259863943473
2023-ny-ofo/20230708-0200/Images/NY-524-120-RTK/DJI_20230708113416_0064_D.JPG,DJI_20230708113416_0064_D.JPG,2025-04-17 23:29:06,2,7852032,1259888113669
2023-ny-ofo/20230709-0169/Images/NY-505-80-NS-RTK/100_0005_0090.JPG,100_0005_0090.JPG,2025-04-17 23:48:07,2,8375225,1259123801785
2023-ny-ofo/20230709-0169/Images/NY-505-80-NS-RTK/100_0005_0098.JPG,100_0005_0098.JPG,2025-04-17 23:48:07,2,8659529,1259119346910
